retention_factor,food_code_org,food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
,UK-17-701,X510,"Dressing, French",ukfct,1384, 335,  11.7,   0.3,32.2,   6.7,0.5,N,N,N,0.0,N,N,N,600,N,N,N,N,NA,N,NA,N,0,N,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
,UK-17-717,X509,"Dressing, thousand island",ukfct,873,210,15.9,0.7,16.4,13.4,0.4,2040.00,6380.00,6960.00,N,24,34,9,470,130,0.30,0.05,1,NA,0.07,NA,0.2,N,4.40,NA,NA,,NA,4,0.01,0.02,0.1,0.10,0.02,1.0,4,Tr,N
,UK-17-498,V504,"Drinking chocolate, powder",ukfct,1598,377,79.7,6.4,5.8,77.7,N,3410.00,1810.00, 290.00,0.0,39,193,132,228,495,3.50,3.69,N,NA,1.00,NA,5.6,0,0.41,NA,NA,,NA,7,0.02,0.06,0.6,0.30,0.01,9.0,7,0,N
,UK-17-672,V505,"Energy drink, carbonated",ukfct,178,42,11.1,Tr,0.0,11.1,0.0,   0.00,   0.00,   0.00,0.0,N,N,N,60,N,N,N,N,NA,N,NA,N,0,0.00,NA,NA,,NA,N,N,N,N,N,N,Tr,N,N,N
,UK-13-827,G510,Fennel seeds,ukfct,N,N,N,15.8,14.9,N,, 500.00,9900.00,1700.00,0.0,1200,510,390,88,1660,12.30,1.07,N,NA,6.50,NA,3.7,0,N,NA,NA,,NA,0,0.41,0.35,10.3,N,N,N,0,0,81
,UK-11-1045,A503,"Flour, corn",ukfct,1508,354,92.0,0.6,0.7,Tr,N, 100.00, 100.00, 300.00,0.0,2,17,2,11,3,0.10,Tr,Tr,NA,N,NA,0.5,0,Tr,NA,NA,,NA,2,0.02,Tr,Tr,Tr,Tr,Tr,2,0,0
,UK-11-896,A504,"Flour, gram",ukfct,1498,353,57.0,22.7,5.4,2.3,10.1, 610.00,1010.00,2800.00,0.0,58,220,62,2,297,2.63,0.27,4,NA,1.64,NA,1.5,0,2.54,NA,NA,8.92,NA,193,0.45,0.17,1.9,1.24,0.45,8.4,193,Tr,32
,UK-11-021,A505,"Flour, rice",ukfct,1531,366,80.1,6.4,0.8,N,,,,,,24,130,23,5,240,1.90,0.20,N,NA,N,NA,N,,N,NA,NA,,NA,N,0.10,0.05,2.1,N,0.20,N,N,0,
,UK-11-898,B503,"Flour, soya",ukfct,1711,409,18.7,34.3,22.4,6.4,18.0,2740.00,3810.00,11360.00,0.3,182,668,245,1,1867,8.42,1.31,7,NA,2.43,NA,4.1,0,4.33,NA,NA,25.30,NA,245,0.38,0.26,1.9,1.79,0.40,14.0,245,0,Tr
151,UK-14-336,E516,"Fruit cocktail, canned in juice, whole contents",ukfct,194,45,  11.7,0.4,Tr,  11.7,N,Tr,Tr,Tr,0.0,9,14,7,3,95,0.40,0.04,Tr,NA,0.10,NA,0.1,0,N,NA,NA,,NA,6,0.01,0.01,0.3,0.05,0.04,0.3,6,14,54
,UK-14-097,V506,"Fruit cocktail, canned in syrup, whole contents",ukfct,244,57,14.8,0.4,Tr,14.8,N,Tr,Tr,Tr,0.0,5,9,5,3,95,0.30,0.02,Tr,NA,0.10,NA,0.1,0,N,NA,NA,,NA,5,0.02,0.01,0.4,0.05,0.03,0.1,5,4,54
,UK-17-847,V507,"Fruit juice drink/squash, diluted",ukfct,29,7,1.8,0.0,Tr,1.8,Tr,Tr,Tr,Tr,0.0,1,0,0,8,5,Tr,Tr,Tr,NA,Tr,NA,Tr,0,N,NA,NA,,NA,0,Tr,Tr,0.0,Tr,0.00,Tr,0,N,138
,UK-17-738,V508,"Fruit juice drink/squash, undiluted",ukfct,144,34,8.9,0.1,Tr,8.9,Tr,Tr,Tr,Tr,0.0,6,2,1,40,27,Tr,Tr,Tr,NA,Tr,NA,Tr,0,N,NA,NA,,NA,2,Tr,Tr,0.1,Tr,0.01,Tr,2,N,690
,UK-13-829,G523,Garam masala,ukfct,1592,379,45.2,15.6,15.1,N,N,N,N,N,0.0,760,390,330,97,1450,32.60,1.62,N,NA,6.00,NA,3.8,0,N,NA,NA,,NA,0,0.35,0.33,2.5,N,N,N,0,0,340
3776,UK-13-830,G524,Garlic powder,ukfct,1045,246,42.7,18.7,1.2,4.2,, 200.00,Tr, 400.00,0.0,65,220,61,19,1360,3.90,0.15,5,NA,1.00,NA,2.6,0,0.03,NA,NA,,NA,0,N,0.12,0.7,N,0.99,N,0,0,Tr
,UK-17-360,K504,Gelatine,ukfct,1435,338,0.0,84.4,0.0,0.0,0.0,   0.00,   0.00,   0.00,0.0,250,32,15,330,7,2.10,0.05,19,NA,0.13,NA,0.2,0,0.00,NA,NA,,NA,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,0,0
,UK-17-640,T506,"Ghee, butter",ukfct,3611,878,Tr,0.1,97.6,Tr,0.0,58420.00,25700.00,4560.00,246.0,1,Tr,Tr,1,Tr,Tr,Tr,Tr,NA,Tr,NA,Tr,922,5.76,NA,NA,,NA,0,0.00,Tr,Tr,Tr,Tr,Tr,0,0,1863
,UK-13-246,D505,"Gherkins, pickled, drained",ukfct,61,14,2.6,0.9,0.1,2.4,1.5,Tr,Tr,Tr,0.0,20,22,11,690,110,0.70,0.10,N,NA,0.10,NA,0.3,0,N,NA,NA,,NA,6,Tr,0.02,0.1,N,N,N,6,1,2
3776,UK-13-832,G554,"Ginger, ground",ukfct,1208,284,60.0,7.4,3.3,19.8,14.1,1570.00, 950.00, 120.00,0.0,97,140,130,34,910,46.80,0.45,N,NA,28.00,NA,4.7,0,N,NA,NA,,NA,0,0.05,0.19,5.1,1.27,1.01,N,0,0,220
1522,UK-19-496,O501,Ham,ukfct,451,107,1.0,18.4,3.3,1.0,0.1,1100.00,1390.00, 520.00,58.0,7,340,24,800,340,0.70,0.12,11,NA,0.01,NA,1.8,Tr,0.04,NA,NA,,NA,19,0.80,0.17,6.5,1.03,0.61,3.0,19,Tr,Tr
2203,UK-14-874,H502,"Hazelnuts, kernel only",ukfct,2685,650,6.0,14.1,63.5,4.0,6.9,4550.00,49230.00,6620.00,0.0,140,300,160,6,730,3.20,1.23,2,NA,4.90,NA,2.1,0,24.98,NA,NA,,NA,72,0.43,0.16,1.1,1.51,0.59,76.0,72,0,0
,UK-17-050,I507,Honey,ukfct,1229,288,76.4,0.4,0.0,76.4,0.0,   0.00,   0.00,   0.00,0.0,5,17,2,11,51,0.40,0.05,1,NA,0.30,NA,0.9,0,0.00,NA,NA,,NA,N,Tr,0.05,0.2,N,N,N,N,0,0
